tempo n_acesso
240320 20631
230673 19526
213835 17837
243004 19849
261787 21359
232276 19369
273928 23686
253322 21548
291707 25006
257079 20321
223051 18734
230674 20291
271283 20269
222680 18968
261927 22519
220867 18747
223953 18779
265313 21784
247292 20505
230242 20142
263650 22442
310379 22017
228029 19152
257279 21229
264060 22433
255806 21146
237004 20076
249015 21050
219675 18858
298099 25602
289674 24335
345289 25001
253403 21066
285727 23758
285587 24753
253974 21527
264942 22162
269230 21810
311962 24778
240901 19914
234840 19819
244247 20915
301114 24943
330334 28460
229091 19423
268328 22427
235692 19988
345089 30917
299661 24930
268949 22640
298169 24496
266164 20864
292569 20964
272856 21903
247222 21561
251138 21114
255626 21244
250808 21436
269980 22575
285116 23608
261947 21868
300282 26150
263770 21765
239729 19859
306153 25889
260284 21876
267026 22889
264691 21989
278145 23996
430544 30303
246300 21015
252841 22320
261246 21698
323402 26219
305722 25557
349015 24525
254464 20984
305802 25750
289665 24407
279226 23695
266254 21153
297788 26773
276292 23387
245149 21134
263329 21564
258211 21561
253182 21533
306954 25816
268789 22434
288342 23918
274859 23132
284796 23837
301784 25090
330043 27273
288282 24769
317973 26652
265513 22600
271263 23244
277093 23260
254133 21322
357100 25912
280799 23612
312673 26820
338297 24129
285207 23991
305562 25326
283584 24611
273527 22981
325726 26782
329762 27704
273787 23167
292630 24676
308416 25334
296296 24586
271303 22351
296486 24980
290717 24689
319686 27497
288994 24860
309217 26359
278656 24019
288362 24259
277874 22946
307906 25813
297608 25356
278325 23296
278546 23706
289655 24862
353283 30801
286058 24362
355456 29503
365403 27980
281090 23271
279457 23371
299902 25227
321478 26689
284605 24199
329062 28044
316660 26741
313886 27271
334190 29877
294923 23321
400032 35454
322801 26909
294582 25132
343796 28533
321228 28831
304460 25903
336164 28763
302256 25957
287510 24034
375621 32105
334290 28501
334882 27153
334651 27638
365734 31947
271613 23883
359343 30614
326797 28033
312373 27284
312754 27053
322881 27556
319375 26883
315308 27081
319024 26457
329462 27705
359434 29873
306733 25130
295805 25016
340942 29101
311252 26129
378106 31361
307946 25805
362438 30871
301524 25804
317973 26435
319165 26121
359173 30364
373127 31184
348094 29267
310911 26573
293911 25547
306743 26651
325926 27279
373007 31432
301685 25020
373978 32290
316330 26700
370492 32380
349326 29639
387141 29889
342846 28337
383555 31839
354294 30849
485949 37263
316470 26413
327859 27264
318624 26755
364231 28198
317702 26155
336734 28550
315128 26853
451991 34808
349366 28883
376793 32500
327328 27392
318453 27878
360786 29968
331455 27946
373287 31265
413686 33054
418424 31832
369220 28707
363781 31086
326096 26911
324955 26990
334681 28164
373237 31194
349326 28582
371704 28725
388973 30168
480409 36753
337165 28895
334891 27811
342575 29445
366155 31379
363059 30511
329813 28171
372787 31794
347693 30368
401004 31211
403378 31333
370943 31317
394544 33208
336905 28606
354866 28898
409769 34653
346812 29577
322200 27040
355907 29456
377754 31598
345449 29028
341292 29570
384476 32541
340030 28380
380309 32779
351970 29828
320106 27229
348235 29365
397008 31048
359203 29749
349206 29215
345289 27086
347083 29416
373096 31295
329432 27549
452322 38930
376954 29908
331776 28942
390076 32619
372155 30857
442194 36421
382773 32541
450489 36762
401054 33693
433009 36828
381531 29392
368359 30562
434512 37150
408457 34507
390046 32954
389996 32641
380890 29824
344939 29354
381300 31140
418264 36476
401074 34302
362419 30390
434661 37767
454295 38529
397117 34276
364322 30446
425747 33690
410331 31697
377575 32176
383655 31863
391327 32949
431095 34714
407485 33164
367467 31320
365383 30622
367316 30810
382703 32090
389956 33150
434341 36558
383304 32603
357189 30014
386850 32999
432167 37140
392860 33604
366556 30971
355216 28455
409048 31266
383985 32119
422160 35808
465524 38975
399752 34877
362549 30180
347964 29382
361356 31149
391298 31378
406914 32535
400915 34682
410801 35891
371254 31340
386970 31833
456499 35862
447483 37642
434090 33761
462519 35554
424985 36034
366345 30704
425626 35339
464252 38426
383545 32361
429753 35878
432097 32950
396557 33815
472406 39606
420899 36592
423582 33216
412513 34245
371745 31374
414026 33784
414557 34136
432467 36774
386660 33374
370502 32008
374379 32066
423612 35357
454386 34752
449347 38507
529915 41036
406995 34096
416952 32619
491379 41543
421449 35210
383785 32422
454155 38294
419937 35574
467858 36249
506805 38819
450749 38876
452642 38350
480951 41003
394483 31127
409218 34573
435312 35817
446291 34904
447844 35144
396827 33152
